Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1704068100000,42488.00000000,42554.57000000,42458.58000000,42458.85000000,163.32541000,1704068399999,6943229.97618270,6153,82.81591000,3520688.53524470,0
1704068400000,42458.85000000,42491.10000000,42445.84000000,42473.93000000,117.27112000,1704068699999,4979136.05053320,3094,49.06278000,2083183.18030300,0
1704068700000,42473.93000000,42500.00000000,42412.02000000,42419.73000000,111.65236000,1704068999999,4739498.02868500,4085,43.64197000,1852694.07639370,0
1704069000000,42419.73000000,42419.73000000,42354.19000000,42362.93000000,77.85936000,1704069299999,3299937.78774740,4552,29.46018000,1248498.37796500,0
1704069300000,42362.93000000,42447.82000000,42355.36000000,42447.82000000,149.18862000,1704069599999,6324233.37676100,3542,114.68252000,4861572.63639320,0
1704069600000,42447.82000000,42447.82000000,42396.50000000,42441.32000000,92.85846000,1704069899999,3939919.62915800,2865,47.85757000,2030572.80105710,0
1704069900000,42441.32000000,42465.52000000,42422.45000000,42422.46000000,59.74817000,1704070199999,2536517.25643110,2342,30.61345000,1299672.82273010,0
1704070200000,42422.45000000,42459.56000000,42422.45000000,42459.55000000,33.13400000,1704070499999,1406179.05561460,1837,20.60355000,874370.35706990,0
1704070500000,42459.56000000,42490.74000000,42455.99000000,42475.23000000,34.93276000,1704070799999,1483911.31014730,2013,15.06934000,640112.20526380,0
1704070800000,42475.23000000,42475.23000000,42435.52000000,42435.53000000,86.46800000,1704071099999,3670754.35749570,2873,57.72521000,2450539.63387170,0
1704071100000,42435.52000000,42459.22000000,42431.65000000,42436.80000000,58.69942000,1704071399999,2491621.37840060,2232,34.04914000,1445247.30910550,0
1704071400000,42436.80000000,42471.10000000,42436.80000000,42466.33000000,43.59357000,1704071699999,1850632.49872530,2151,23.39990000,993384.19500280,0
1704071700000,42466.32000000,42495.71000000,42466.32000000,42493.61000000,37.14979000,1704071999999,1578294.77183790,1870,25.01631000,1062740.51269780,0
1704072000000,42493.61000000,42513.17000000,42478.07000000,42478.07000000,51.74072000,1704072299999,2198985.87344660,2160,20.81980000,884659.59092570,0
1704072300000,42478.07000000,42511.10000000,42470.00000000,42493.16000000,63.59640000,1704072599999,2702706.67629710,2550,34.09872000,1449135.02937250,0
1704072600000,42493.16000000,42574.50000000,42493.16000000,42565.22000000,64.97471000,1704072899999,2764168.61972930,3652,43.14586000,1835224.99732400,0
1704072900000,42565.22000000,42775.00000000,42565.21000000,42717.52000000,420.49157000,1704073199999,17946209.90699100,18028,271.16706000,11571845.84236110,0
1704073200000,42717.53000000,42751.73000000,42675.00000000,42697.50000000,157.10679000,1704073499999,6710624.90750800,5745,102.02477000,4357432.68507750,0
1704073500000,42697.50000000,42720.00000000,42653.06000000,42698.01000000,113.43382000,1704073799999,4842759.27911990,3793,61.47118000,2624486.70922170,0
1704073800000,42698.01000000,42706.10000000,42660.00000000,42664.45000000,39.00133000,1704074099999,1664669.02717950,2470,20.03181000,854999.69100330,0
1704074100000,42664.46000000,42664.49000000,42613.56000000,42613.56000000,60.12244000,1704074399999,2563466.05141070,2872,19.37251000,825949.15231280,0
1704074400000,42613.57000000,42638.41000000,42558.82000000,42563.79000000,94.92511000,1704074699999,4043920.82995400,4209,31.65179000,1348401.50501110,0
1704074700000,42563.79000000,42576.21000000,42545.45000000,42548.93000000,74.69948000,1704074999999,3179242.41679080,3496,28.94208000,1231698.94643000,0
1704075000000,42548.92000000,42564.87000000,42541.10000000,42556.63000000,47.67362000,1704075299999,2028727.83185410,1936,20.67362000,879697.52233040,0
1704075300000,42556.64000000,42556.64000000,42531.10000000,42535.99000000,52.35529000,1704075599999,2227447.05824090,2260,15.29638000,650712.07819340,0
1704075600000,42535.99000000,42571.68000000,42535.99000000,42546.00000000,49.60982000,1704075899999,2110953.65719330,2012,26.47159000,1126281.67538620,0
1704075900000,42546.00000000,42546.01000000,42546.00000000,42546.01000000,37.33467000,1704076199999,1588440.97098230,1394,10.11623000,430405.22274230,0
1704076200000,42546.00000000,42606.25000000,42535.99000000,42606.25000000,68.94953000,1704076499999,2935991.87979910,2467,45.30880000,1929323.11540590,0
1704076500000,42606.24000000,42606.25000000,42572.33000000,42572.34000000,60.02304000,1704076799999,2556424.41261230,2393,26.08898000,1111061.39299600,0
1704076800000,42572.33000000,42572.34000000,42533.00000000,42535.75000000,64.16796000,1704077099999,2730223.81332770,2339,20.84678000,886981.03019930,0
1704077100000,42535.74000000,42545.68000000,42511.47000000,42511.47000000,28.48084000,1704077399999,1211398.10717970,2180,7.30880000,310869.18346910,0
1704077400000,42511.47000000,42590.00000000,42500.00000000,42566.22000000,63.46468000,1704077699999,2701006.68529830,3213,31.68152000,1348137.86727120,0
1704077700000,42566.22000000,42581.10000000,42562.86000000,42581.10000000,43.53576000,1704077999999,1853600.31000500,1964,24.60207000,1047447.76032710,0
1704078000000,42581.09000000,42586.64000000,42552.30000000,42552.30000000,59.48096000,1704078299999,2532362.58060710,2374,30.34703000,1291950.03565420,0
1704078300000,42552.31000000,42571.13000000,42538.60000000,42538.61000000,48.83862000,1704078599999,2078290.87603610,2388,26.26953000,1117848.74593070,0
1704078600000,42538.61000000,42553.99000000,42501.67000000,42508.24000000,60.82908000,1704078899999,2587051.00376450,2664,24.20473000,1029466.99664350,0
1704078900000,42508.24000000,42508.24000000,42456.00000000,42466.00000000,77.71739000,1704079199999,3301187.83423860,3775,31.83724000,1352308.73208980,0
1704079200000,42466.00000000,42485.62000000,42437.45000000,42439.87000000,50.33267000,1704079499999,2137290.03627230,2632,18.07255000,767307.20114150,0
1704079500000,42439.87000000,42450.00000000,42419.39000000,42429.47000000,47.79376000,1704079799999,2028096.32505490,2453,20.09574000,852691.57086800,0
1704079800000,42429.47000000,42459.02000000,42412.89000000,42412.89000000,51.60541000,1704080099999,2189881.72832410,2573,21.27117000,902665.09512180,0
1704080100000,42412.89000000,42431.10000000,42382.00000000,42388.06000000,48.53514000,1704080399999,2058280.35603500,3271,19.66044000,833794.74982180,0
1704080400000,42388.07000000,42391.75000000,42230.08000000,42302.19000000,98.90640000,1704080699999,4186100.57471590,7123,31.85445000,1347899.72157700,0
1704080700000,42302.19000000,42345.55000000,42243.99000000,42345.55000000,108.12565000,1704080999999,4572750.09953030,3992,71.86554000,3039486.08974610,0
1704081000000,42345.54000000,42358.84000000,42298.69000000,42316.96000000,79.18977000,1704081299999,3351926.03991300,3016,28.62206000,1211539.24250500,0
1704081300000,42316.95000000,42351.09000000,42312.00000000,42330.49000000,63.44906000,1704081599999,2685832.81962180,2359,32.27161000,1366038.19475050,0
1704081600000,42330.50000000,42369.40000000,42322.60000000,42358.97000000,49.56216000,1704081899999,2099008.92147470,2350,29.35803000,1243282.11050110,0
